IdCompra,Fecha,Fecha_Año,Fecha_Mes,Fecha_Periodo,IdProveedor,IdProducto,Precio,Cantidad,MinPrecio,MaxPrecio,MinCantidad,MaxCantidad,Calidad_Precio,Calidad_Cantidad,Compra
1,2015-01-30,2015,1,201501,12,42832,560.51,13,423.275,697.745,0.001,20.125,Sin errores,Sin errores,7286.63
2,2015-01-30,2015,1,201501,7,42833,497.58,11,474.70625000000007,730.1637499999998,0.001,18.5,Sin errores,Sin errores,5473.38
3,2015-01-30,2015,1,201501,6,42834,588.5,1,463.36250000000007,690.3575,0.001,18.5,Sin errores,Sin errores,588.5
4,2015-01-30,2015,1,201501,14,42835,567.66,9,509.0187500000002,653.1312499999999,0.001,18.0,Sin errores,Sin errores,5108.94
5,2015-01-30,2015,1,201501,2,42839,231.31,14,195.905,310.08500000000004,0.001,22.0,Sin errores,Sin errores,3238.34
6,2015-01-30,2015,1,201501,13,42840,232.07,14,175.88750000000005,303.01249999999993,0.001,20.0,Sin errores,Sin errores,3248.98
7,2015-01-30,2015,1,201501,4,42841,236.98,8,198.71500000000003,297.68499999999995,0.001,15.0,Sin errores,Sin errores,1895.84
8,2015-01-30,2015,1,201501,4,42842,255.33,4,198.64750000000004,316.9525,0.001,17.5,Sin errores,Sin errores,1021.32
9,2015-01-30,2015,1,201501,12,42845,578.61,5,452.8150000000001,701.665,0.001,23.5,Sin errores,Sin errores,2893.05
10,2015-01-30,2015,1,201501,6,42855,809.04,1,680.04,932.46,0.001,15.0,Sin errores,Sin errores,809.04
11,2015-01-30,2015,1,201501,3,42857,379.77,8,285.095,452.885,0.001,16.25,Sin errores,Sin errores,3038.16
12,2015-01-30,2015,1,201501,7,42858,365.37,11,265.7249999999999,441.67500000000007,0.001,21.5,Sin errores,Sin errores,4019.07
13,2015-01-30,2015,1,201501,11,42860,447.15,5,338.86125000000004,467.9587499999999,0.001,16.75,Sin errores,Sin errores,2235.75
14,2015-01-30,2015,1,201501,6,42862,310.02,4,273.9787500000001,422.98124999999993,0.001,13.25,Sin errores,Sin errores,1240.08
15,2015-01-30,2015,1,201501,2,42984,173.64,7,132.98249999999996,233.6775,0.001,12.5,Sin errores,Sin errores,1215.48
16,2015-01-30,2015,1,201501,5,42907,316.37,6,243.06999999999994,375.31000000000006,0.001,16.5,Sin errores,Sin errores,1898.22
17,2015-01-30,2015,1,201501,13,42908,1081.16,4,857.555,1164.1550000000002,0.001,15.0,Sin errores,Sin errores,4324.64
18,2015-01-30,2015,1,201501,7,42911,1409.06,8,942.745,1556.8450000000003,0.001,20.5,Sin errores,Sin errores,11272.48
19,2015-01-30,2015,1,201501,8,42914,982.0,4,835.7887500000002,1214.2312499999998,0.001,24.0,Sin errores,Sin errores,3928.0
20,2015-01-30,2015,1,201501,13,42915,1225.11,17,1014.8524999999997,1506.2975,0.001,21.375,Sin errores,Sin errores,20826.87
21,2015-01-30,2015,1,201501,13,42917,97656.3,7,78312.99999999999,110810.8,0.001,16.625,Sin errores,Sin errores,683594.1
22,2015-01-30,2015,1,201501,14,42923,505.66,3,429.14374999999995,626.4762499999999,0.001,17.625,Sin errores,Sin errores,1516.98
23,2015-01-30,2015,1,201501,12,42924,381.21,5,352.04625,550.95375,0.001,14.25,Sin errores,Sin errores,1906.05
24,2015-01-30,2015,1,201501,1,42934,1187.08,10,903.6087500000002,1564.4412499999999,0.001,21.625,Sin errores,Sin errores,11870.8
25,2015-01-30,2015,1,201501,10,42939,1793.33,13,1681.4812499999998,2411.6887500000003,0.001,14.5,Sin errores,Sin errores,23313.29
26,2015-01-30,2015,1,201501,4,42940,1515.75,6,1228.29,1765.83,0.001,20.0,Sin errores,Sin errores,9094.5
27,2015-01-30,2015,1,201501,2,42941,,6,1723.2099999999996,2432.77,0.001,16.0,Valor Nulo,Sin errores,
28,2015-01-30,2015,1,201501,12,42943,1706.29,8,1268.8999999999996,1716.4400000000005,0.001,18.5,Sin errores,Sin errores,13650.32
29,2015-01-30,2015,1,201501,10,42944,2464.33,5,2070.0874999999996,3075.7925000000005,0.001,19.25,Sin errores,Sin errores,12321.65
30,2015-01-30,2015,1,201501,7,42945,2082.62,12,1628.1725,2698.4975000000004,0.001,16.5,Sin errores,Sin errores,24991.44
31,2015-01-30,2015,1,201501,2,42947,1939.23,4,1632.6287499999999,2554.5512500000004,0.001,19.5,Sin errores,Sin errores,7756.92
32,2015-01-30,2015,1,201501,11,42950,1685.63,12,1508.9374999999995,2290.0625000000005,0.001,14.5,Sin errores,Sin errores,20227.56
33,2015-01-30,2015,1,201501,12,42952,3182.35,8,1950.1287499999999,3585.9612500000003,0.001,18.125,Sin errores,Sin errores,25458.8
34,2015-01-30,2015,1,201501,4,42954,1825.08,7,1350.9425,2140.3775,0.001,15.625,Sin errores,Sin errores,12775.56
35,2015-01-30,2015,1,201501,5,42955,1816.93,2,1409.65,1940.65,0.001,17.5,Sin errores,Sin errores,3633.86
36,2015-01-30,2015,1,201501,2,42958,2786.46,4,2024.5400000000006,3243.5599999999995,0.001,21.0,Sin errores,Sin errores,11145.84
37,2015-01-30,2015,1,201501,8,42959,2919.61,8,2525.2925000000005,3439.857499999999,0.5,15.5,Sin errores,Sin errores,23356.88
38,2015-01-30,2015,1,201501,12,42961,175098.0,4,1679.6049999999998,2363.425,0.001,17.75,Outlier,Sin errores,700392.0
39,2015-01-30,2015,1,201501,3,42963,1466.3,10,1284.13625,1986.44375,0.001,20.0,Sin errores,Sin errores,14663.0
